[ ter 08 jul 2025 11:26:01 ] Script de verificacao do bot de demandas...  Nao rodando, disparando...  (/var/www/onde-indusmart/scripts)  agora rodando, OK!
[ ter 08 jul 2025 11:27:01 ] Script de verificacao do bot de demandas...  1496375, rodando [ OK ]
[ ter 08 jul 2025 11:28:01 ] Script de verificacao do bot de demandas...  1496375, rodando [ OK ]
[ ter 08 jul 2025 11:29:01 ] Script de verificacao do bot de demandas...  1496375, rodando [ OK ]
[ ter 08 jul 2025 11:30:01 ] Script de verificacao do bot de demandas...  1496375, rodando [ OK ]
[ ter 08 jul 2025 11:31:01 ] Script de verificacao do bot de demandas...  1496375, rodando [ OK ]
[ ter 08 jul 2025 11:32:01 ] Script de verificacao do bot de demandas...  1496375, rodando [ OK ]
[ ter 08 jul 2025 11:33:01 ] Script de verificacao do bot de demandas...  1496375, rodando [ OK ]
[ ter 08 jul 2025 11:34:01 ] Script de verificacao do bot de demandas...  1496375, rodando [ OK ]
[ ter 08 jul 2025 11:35:01 ] Script de verificacao do bot de demandas...  1496375, rodando [ OK ]
[ ter 08 jul 2025 11:36:01 ] Script de verificacao do bot de demandas...  1496375, rodando [ OK ]
[ ter 08 jul 2025 11:37:01 ] Script de verificacao do bot de demandas...  1496375, rodando [ OK ]
[ ter 08 jul 2025 11:38:01 ] Script de verificacao do bot de demandas...  1496375, rodando [ OK ]
[ ter 08 jul 2025 11:39:01 ] Script de verificacao do bot de demandas...  1496375, rodando [ OK ]
